fraud_YN,car_model,sharing_type,age_group,has_previous_accident,cumulative_use_count,b2b,accident_ratio,pf_type,socarpass,socarsave,start_hour,duration,accident_hour,repair_cost,insure_cost,accident_location,car_part1,car_part2,repair_cnt,acc_type1,insurance_site_aid_YN,police_site_aid_YN,total_prsn_cnt,test_set
1,2,0,1,0,3,0,40,2,1,0,2,1,1,365926.909,0,4,0,0,1,1,2,1,1,0
0,2,0,1,0,2,0,0,3,0,1,4,3,5,0,0,1,0,0,3,1,1,1,1,1
0,2,0,1,0,2,0,100,1,0,0,2,1,2,240644.7351,0,4,1,0,1,0,0,0,-1,0
0,2,0,4,0,4,0,100,2,0,0,5,3,6,0,308000,0,0,1,1,1,2,1,0,0
0,2,0,4,1,4,0,100,3,0,0,4,3,2,182599.9626,613540,2,0,1,2,1,1,1,1,1
0,1,1,1,0,4,0,100,3,0,0,6,4,2,0,200000,1,0,0,1,1,1,1,1,1
0,1,1,1,1,4,0,100,3,0,0,6,4,1,243135.8241,0,1,0,0,4,0,0,0,-1,1
0,1,0,1,0,1,0,100,1,0,0,2,2,2,133833.634,3704280,0,0,1,1,0,0,0,-1,0
0,2,0,2,0,2,0,10,2,0,0,4,1,5,47712.28853,61000,2,0,1,2,1,1,1,1,0
0,1,0,2,0,1,0,100,1,0,0,6,1,6,6136061.294,9183040,3,1,0,1,0,0,0,-1,0
0,1,0,1,0,2,0,100,1,0,0,4,3,2,428186.5558,0,4,1,0,1,0,0,0,-1,0
0,2,0,4,0,2,0,0,2,0,0,4,3,6,0,0,1,0,1,1,0,0,0,-1,0
0,1,0,1,0,3,0,100,1,0,0,4,2,5,728949.1388,10985620,1,1,0,5,1,1,1,1,0
0,1,0,3,0,4,0,100,1,0,0,2,4,5,0,550000,0,0,0,1,0,0,0,-1,0
0,2,1,1,0,2,0,100,1,0,0,4,3,4,218687.8352,901440,0,1,0,2,1,2,1,2,0
0,1,0,4,0,1,0,100,1,0,0,5,1,6,66161.23548,0,0,0,0,1,0,0,0,-1,0
0,2,0,4,0,1,0,100,1,0,0,6,1,6,1140198.977,650000,0,0,0,1,0,0,0,-1,0
0,2,0,1,0,4,0,100,1,0,0,2,5,1,0,0,1,1,0,1,0,0,0,-1,0
0,2,0,1,1,4,0,100,3,0,0,2,3,1,341982.0288,0,2,1,0,1,0,0,0,-1,1
0,1,0,1,0,2,0,100,3,0,0,1,3,1,0,2163500,0,0,1,1,1,2,1,1,0
